x,y,iks
108.373397,-18.846932,0
109.344972,-11.986535,0
109.882701,-5.078578,0
109.98445,1.849529,0
120,0,0
119.761939,7.555,0
119.0487,15.080024,0
117.863112,22.545216,0
116.209881,29.920955,0
114.095565,37.177977,0
111.528554,44.287488,0
108.519033,51.22128,0
105.078941,57.951843,0
101.22193,64.452471,0
96.963301,70.697371,0
92.319952,76.661766,4
87.310307,82.321992,4
81.954241,87.655589,4
76.273007,92.641397,4
70.289145,97.259632,4
64.026398,101.491972,4
57.509615,105.321623,4
50.764651,108.733391,4
43.818268,111.713738,4
36.698029,114.250841,4
29.432183,116.334632,4
22.04956,117.956843,4
14.579451,119.111039,4
7.051495,119.792639,4
-0.504439,119.99894,4
-8.058372,119.729122,4
-15.580331,118.984256,4
-23.040473,117.767299,4
-30.409197,116.083077,4
-37.657267,113.938274,4
-44.755925,111.341399,4
-51.677005,108.302757,4
-58.393047,104.834403,4
-64.877404,100.950099,4
-71.104347,96.665257,4
-77.049171,91.996877,4
-82.688287,86.963482,4
-87.999323,81.585043,4
-92.961204,75.8829,4
-97.554244,69.879678,4
-101.76022,63.599195,4
-105.562443,57.06637,4
-108.945827,50.307124,4
-111.896949,43.348275,4
-114.404098,36.217433,4
-116.457327,28.942892,4
-118.04849,21.553514,4
-119.171274,14.078619,4
-119.821223,6.547865,4
-119.995759,-1.00887,4
-119.694189,-8.561601,4
-118.917711,-16.080363,4
-117.669404,-23.535323,4
-115.954221,-30.896902,4
-113.778969,-38.135892,4
-111.152277,-45.223571,4
-108.084567,-52.131817,4
-104.588012,-58.833219,4
-100.676484,-65.301191,4
-96.365504,-71.510067,4
-91.672175,-77.435214,4
-86.61512,-83.053122,4
-81.214403,-88.341501,4
-75.491452,-93.279369,4
-69.468976,-97.847133,4
-63.170868,-102.026671,4
-56.622117,-105.801398,4
-49.848708,-109.156339,4
-42.877515,-112.078181,4
-35.736197,-114.555333,4
-28.453089,-116.577964,4
-21.057088,-118.138051,4
-13.577539,-119.229403,4
-6.044119,-119.847689,4
1.513282,-119.990458,4
9.064679,-119.657142,4
16.580111,-118.849064,4
24.029757,-117.56943,4
31.384062,-115.823317,4
38.613844,-113.617653,4
45.690418,-110.96119,4
52.585707,-107.864468,4
59.272352,-104.339773,4
65.723823,-100.401091,4
71.914523,-96.064048,4
77.819888,-91.345854,4
83.416488,-86.265227,4
88.682118,-80.842328,4
93.595885,-75.098671,4
98.138292,-69.057046,4
102.291318,-62.741424,4
106.038483,-56.176864,4
109.364921,-49.389411,0
112.257434,-42.405997,0
114.704543,-35.254329,0
116.696541,-27.962783,0
118.225524,-20.56029,0
119.285424,-13.076219,0
119.872038,-5.540267,0
119.983036,2.017668,0
130,0,0
129.7421,8.184583,0
128.969425,16.336693,0
127.685038,24.423984,0
125.894038,32.414367,0
123.603529,40.276141,0
120.8226,47.978112,0
117.562285,55.48972,0
113.83552,62.781163,4
109.65709,69.82351,4
105.043576,76.588819,4
100.013282,83.050247,4
94.586166,89.182158,4
88.783762,94.960222,4
82.629091,100.361513,4
76.146574,105.364601,4
69.361932,109.949636,4
62.302083,114.098425,4
54.995038,117.794507,4
47.469791,121.023217,4
39.756198,123.771744,4
31.884865,126.029185,4
23.887023,127.78658,4
15.794405,129.036959,4
7.639119,129.775359,4
-0.546476,129.998851,4
-8.729903,129.706549,4
-16.878692,128.899611,4
-24.960512,127.58124,4
-32.943297,125.756667,4
-40.795373,123.43313,4
-48.485585,120.619849,4
-55.983422,117.327987,4
-63.259134,113.570603,4
-70.283854,109.362607,4
-77.029709,104.720695,4
-83.469935,99.663283,4
-89.578978,94.210439,4
-95.332599,88.383797,4
-100.707971,82.206475,4
-105.683765,75.702984,4
-110.240239,68.899128,4
-114.359313,61.821901,4
-118.024646,54.499384,4
-121.221694,46.960631,4
-123.937772,39.235552,4
-126.162104,31.3548,4
-127.885864,23.349641,4
-129.102213,15.251838,4
-129.806325,7.09352,4
-129.995406,-1.092942,4
-129.668705,-9.275068,4
-128.82752,-17.420393,4
-127.475187,-25.4966,4
-125.617073,-33.471644,4
-123.260549,-41.313883,4
-120.414967,-48.992202,4
-117.091615,-56.476135,4
-113.30368,-63.735988,4
-109.066191,-70.742956,4
-104.395963,-77.469239,4
-99.311523,-83.888148,4
-93.833046,-89.974215,4
-87.98227,-95.703293,4
-81.782407,-101.052649,4
-75.258057,-106.001061,4
-68.435106,-110.528893,4
-61.340627,-114.618181,4
-54.002767,-118.2527,4
-46.450641,-121.41803,4
-38.714213,-124.10161,4
-30.82418,-126.292794,4
-22.811846,-127.982888,4
-14.709001,-129.165186,4
-6.547796,-129.834997,4
1.639389,-129.989663,4
9.820069,-129.62857,4
17.961787,-128.753152,4
26.032237,-127.366882,4
33.9994,-125.47526,4
41.831664,-123.085791,4
49.497953,-120.207956,4
56.967849,-116.853174,4
64.211715,-113.034754,4
71.200809,-108.767848,4
77.9074,-104.069386,4
84.304879,-98.958008,4
90.367862,-93.453996,4
96.072295,-87.579188,4
101.395542,-81.356893,4
106.316484,-74.811799,4
110.815594,-67.969876,4
114.875024,-60.858269,4
118.478665,-53.505196,4
121.61222,-45.93983,4
124.263255,-38.19219,4
126.421253,-30.293015,0
128.077651,-22.273647,0
129.225876,-14.165904,0
129.861374,-6.001956,0
129.981623,2.185807,0
140,0,4
139.722262,8.814167,4
138.890149,17.593362,4
137.506964,26.302752,4
135.578195,34.90778,4
133.111493,43.374306,4
130.116647,51.668736,4
126.605538,59.758161,4
122.592098,67.610483,4
118.092251,75.194549,4
113.123851,82.480266,4
107.706611,89.438727,4
101.862025,96.042324,4
95.613282,102.264854,4
88.985175,108.081629,4
82.004003,113.469571,4
74.697465,118.4073,4
67.09455,122.875227,4
59.225426,126.855622,4
51.121313,130.332695,4
42.814367,133.292648,4
34.337547,135.723737,4
25.724486,137.616317,4
17.009359,138.962879,4
8.226744,139.758079,4
-0.588513,139.998763,4
-9.401434,139.683976,4
-18.177053,138.814966,4
-26.880552,137.395182,4
-35.477397,135.430256,4
-43.933478,132.927986,4
-52.215246,129.898299,4
-60.289839,126.353216,4
-68.125222,122.306803,4
-75.690304,117.775115,4
-82.955072,112.776133,4
-89.890699,107.329689,4
-96.469668,101.457395,4
-102.665876,95.18255,4
-108.454738,88.53005,4
-113.813285,81.526291,4
-118.720257,74.199061,4
-123.156184,66.577432,4
-127.103465,58.691644,4
-130.54644,50.572987,4
-133.471447,42.253672,4
-135.866881,33.766707,4
-137.723238,25.145767,4
-139.033153,16.425056,4
-139.791427,7.639176,4
-139.995052,-1.177015,4
-139.643221,-9.988535,4
-138.737329,-18.760424,4
-137.280971,-27.457877,4
-135.279925,-36.046386,4
-132.74213,-44.491874,4
-129.677656,-52.760833,4
-126.098662,-60.820453,4
-122.019348,-68.638756,4
-117.455899,-76.184722,4
-112.426421,-83.428411,4
-106.950871,-90.341083,4
-101.050973,-96.895309,4
-94.750137,-103.065084,4
-88.073361,-108.82593,4
-81.047138,-114.154988,4
-73.699345,-119.031116,4
-66.059137,-123.434964,4
-58.156826,-127.349062,4
-50.023767,-130.757878,4
-41.69223,-133.647888,4
-33.195271,-136.007625,4
-24.566603,-137.827726,4
-15.840463,-139.10097,4
-7.051472,-139.822304,4
1.765496,-139.988868,4
10.575459,-139.599999,4
19.343463,-138.657241,4
28.034717,-137.164334,4
36.614738,-135.127203,4
45.049484,-132.553929,4
53.305487,-129.454722,4
61.349991,-125.841879,4
69.151078,-121.729735,4
76.677794,-117.134606,4
83.900277,-112.074723,4
90.78987,-106.570163,4
97.319237,-100.642765,4
103.462471,-94.316049,4
109.195199,-87.615116,4
114.494675,-80.566553,4
119.339871,-73.198328,4
123.711564,-65.539674,4
127.592408,-57.62098,4
130.967006,-49.473664,4
133.821967,-41.130051,4
136.145965,-32.623247,4
137.929778,-23.987005,4
139.166329,-15.255589,4
139.850711,-6.463645,4
139.980209,2.353946,4
150,0,4
149.702423,9.44375,4
148.810874,18.85003,4
147.32889,28.181519,4
145.262351,37.401193,4
142.619457,46.472471,4
139.410693,55.35936,4
135.648791,64.026601,4
131.348677,72.439804,4
126.527412,80.565588,4
121.204126,88.371714,4
115.39994,95.827208,4
109.137884,102.90249,4
102.442802,109.569486,4
95.341259,115.801746,4
87.861432,121.57454,4
80.032998,126.864965,4
71.887018,131.652028,4
63.455813,135.916738,4
54.772836,139.642173,4
45.872536,142.813551,4
36.790229,145.41829,4
27.56195,147.446054,4
18.224313,148.888799,4
8.814368,149.740799,4
-0.630549,149.998675,4
-10.072965,149.661402,4
-19.475414,148.730321,4
-28.800591,147.209123,4
-38.011496,145.103846,4
-47.071584,142.422842,4
-55.944906,139.176749,4
-64.596256,135.378446,4
-72.991309,131.043004,4
-81.096755,126.187624,4
-88.880434,120.831571,4
-96.311463,114.996096,4
-103.360359,108.704352,4
-109.999153,101.981304,4
-116.201505,94.853625,4
-121.942806,87.349597,4
-127.200275,79.498994,4
-131.953054,71.332963,4
-136.182284,62.883905,4
-139.871186,54.185343,4
-143.005122,45.271791,4
-145.571659,36.178615,4
-147.560613,26.941893,4
-148.964092,17.598274,4
-149.776529,8.184831,4
-149.994699,-1.261087,4
-149.617737,-10.702002,4
-148.647138,-20.100454,4
-147.086755,-29.419154,4
-144.942777,-38.621128,4
-142.223711,-47.669865,4
-138.940346,-56.529464,4
-135.105709,-65.164771,4
-130.735015,-73.541524,4
-125.845606,-81.626488,4
-120.45688,-89.387584,4
-114.590219,-96.794017,4
-108.2689,-103.816402,4
-101.518004,-110.426876,4
-94.364316,-116.599211,4
-86.836219,-122.308916,4
-78.963584,-127.533338,4
-70.777647,-132.251748,4
-62.310885,-136.445424,4
-53.596893,-140.097727,4
-44.670246,-143.194166,4
-35.566361,-145.722455,4
-26.32136,-147.672563,4
-16.971924,-149.036753,4
-7.555149,-149.809612,4
1.891603,-149.988072,4
11.330849,-149.571427,4
20.725138,-148.56133,4
30.037197,-146.961787,4
39.230077,-144.779146,4
48.267304,-142.022066,4
57.113022,-138.701488,4
65.732134,-134.830585,4
74.09044,-130.424716,4
82.154779,-125.501364,4
89.893154,-120.08006,4
97.27486,-114.182317,4
104.270611,-107.831534,4
110.852648,-101.052909,4
116.994856,-93.873338,4
122.672866,-86.321307,4
127.864147,-78.42678,4
132.548104,-70.22108,4
136.706152,-61.736764,4
140.321792,-53.007497,4
143.380679,-44.067912,4
145.870677,-34.953479,4
147.781905,-25.700362,4
149.106781,-16.345274,4
149.840047,-6.925333,4
149.978795,2.522085,4
160,0,4
159.682585,10.073333,4
158.731599,20.106699,4
157.150816,30.060287,4
154.946508,39.894606,4
152.127421,49.570635,4
148.704739,59.049984,4
144.692043,68.295041,4
140.105255,77.269124,4
134.962573,85.936627,4
129.284401,94.263161,4
123.09327,102.215688,4
116.413742,109.762656,4
109.272322,116.874119,4
101.697343,123.521862,4
93.718861,129.679509,4
85.368531,135.322629,4
76.679486,140.42883,4
67.686201,144.977854,4
